iteration,energy
512,-822237690384726323450095643521974272.000000
513,-822237690384726323450095643521974272.000000
514,-822237690384726323450095643521974272.000000
515,-822237690384726323450095643521974272.000000
516,-822237690384726323450095643521974272.000000
517,-822237690384726323450095643521974272.000000
518,-822237690384726323450095643521974272.000000
519,-822237690384726323450095643521974272.000000
520,-822237690384726323450095643521974272.000000
521,-822237690384726323450095643521974272.000000
522,-822237690384726323450095643521974272.000000
523,-822237690384726323450095643521974272.000000
524,-822237690384726323450095643521974272.000000
525,-822237690384726323450095643521974272.000000
526,-822237690384726323450095643521974272.000000
527,-822237690384726323450095643521974272.000000
528,-822237690384726323450095643521974272.000000
529,-822237690384726323450095643521974272.000000
530,-822237690384726323450095643521974272.000000
531,-822237690384726323450095643521974272.000000
532,-822237690384726323450095643521974272.000000
533,-822237690384726323450095643521974272.000000
534,-822237690384726323450095643521974272.000000
535,-822237690384726323450095643521974272.000000
536,-822237690384726323450095643521974272.000000
537,-822237690384726323450095643521974272.000000
538,-822237690384726323450095643521974272.000000
539,-822237690384726323450095643521974272.000000
540,-822237690384726323450095643521974272.000000
541,-822237690384726323450095643521974272.000000
542,-822237690384726323450095643521974272.000000
543,-822237690384726323450095643521974272.000000
544,-822237690384726323450095643521974272.000000
545,-822237690384726323450095643521974272.000000
546,-822237690384726323450095643521974272.000000
547,-822237690384726323450095643521974272.000000
548,-822237690384726323450095643521974272.000000
549,-822237690384726323450095643521974272.000000
550,-822237690384726323450095643521974272.000000
551,-822237690384726323450095643521974272.000000
552,-822237690384726323450095643521974272.000000
553,-822237690384726323450095643521974272.000000
554,-822237690384726323450095643521974272.000000
555,-822237690384726323450095643521974272.000000
556,-822237690384726323450095643521974272.000000
557,-822237690384726323450095643521974272.000000
558,-822237690384726323450095643521974272.000000
559,-822237690384726323450095643521974272.000000
560,-822237690384726323450095643521974272.000000
561,-822237690384726323450095643521974272.000000
562,-822237690384726323450095643521974272.000000
563,-822237690384726323450095643521974272.000000
564,-822237690384726323450095643521974272.000000
565,-822237690384726323450095643521974272.000000
566,-822237690384726323450095643521974272.000000
567,-822237690384726323450095643521974272.000000
568,-822237690384726323450095643521974272.000000
569,-822237690384726323450095643521974272.000000
570,-822237690384726323450095643521974272.000000
571,-822237690384726323450095643521974272.000000
572,-822237690384726323450095643521974272.000000
573,-822237690384726323450095643521974272.000000
574,-822237690384726323450095643521974272.000000
575,-822237690384726323450095643521974272.000000
576,-822237690384726323450095643521974272.000000
577,-822237690384726323450095643521974272.000000
578,-822237690384726323450095643521974272.000000
579,-822237690384726323450095643521974272.000000
580,-822237690384726323450095643521974272.000000
581,-822237690384726323450095643521974272.000000
582,-822237690384726323450095643521974272.000000
583,-822237690384726323450095643521974272.000000
584,-822237690384726323450095643521974272.000000
585,-822237690384726323450095643521974272.000000
586,-822237690384726323450095643521974272.000000
587,-822237690384726323450095643521974272.000000
588,-822237690384726323450095643521974272.000000
589,-822237690384726323450095643521974272.000000
590,-822237690384726323450095643521974272.000000
591,-822237690384726323450095643521974272.000000
592,-822237690384726323450095643521974272.000000
593,-822237690384726323450095643521974272.000000
594,-822237690384726323450095643521974272.000000
595,-822237690384726323450095643521974272.000000
596,-822237690384726323450095643521974272.000000
597,-822237690384726323450095643521974272.000000
598,-822237690384726323450095643521974272.000000
599,-822237690384726323450095643521974272.000000
600,-822237690384726323450095643521974272.000000
601,-822237690384726323450095643521974272.000000
602,-822237690384726323450095643521974272.000000
603,-822237690384726323450095643521974272.000000
604,-822237690384726323450095643521974272.000000
605,-822237690384726323450095643521974272.000000
606,-822237690384726323450095643521974272.000000
607,-822237690384726323450095643521974272.000000
608,-822237690384726323450095643521974272.000000
609,-822237690384726323450095643521974272.000000
610,-822237690384726323450095643521974272.000000
611,-822237690384726323450095643521974272.000000
612,-822237690384726323450095643521974272.000000
613,-822237690384726323450095643521974272.000000
614,-822237690384726323450095643521974272.000000
615,-822237690384726323450095643521974272.000000
616,-822237690384726323450095643521974272.000000
617,-822237690384726323450095643521974272.000000
618,-822237690384726323450095643521974272.000000
619,-822237690384726323450095643521974272.000000
620,-822237690384726323450095643521974272.000000
621,-822237690384726323450095643521974272.000000
622,-822237690384726323450095643521974272.000000
623,-822237690384726323450095643521974272.000000
624,-822237690384726323450095643521974272.000000
625,-822237690384726323450095643521974272.000000
626,-822237690384726323450095643521974272.000000
627,-822237690384726323450095643521974272.000000
628,-822237690384726323450095643521974272.000000
629,-822237690384726323450095643521974272.000000
630,-822237690384726323450095643521974272.000000
631,-822237690384726323450095643521974272.000000
632,-822237690384726323450095643521974272.000000
633,-822237690384726323450095643521974272.000000
634,-822237690384726323450095643521974272.000000
635,-822237690384726323450095643521974272.000000
636,-822237690384726323450095643521974272.000000
637,-822237690384726323450095643521974272.000000
638,-822237690384726323450095643521974272.000000
639,-822237690384726323450095643521974272.000000
640,-822237690384726323450095643521974272.000000
641,-822237690384726323450095643521974272.000000
642,-822237690384726323450095643521974272.000000
643,-822237690384726323450095643521974272.000000
644,-822237690384726323450095643521974272.000000
645,-822237690384726323450095643521974272.000000
646,-822237690384726323450095643521974272.000000
647,-822237690384726323450095643521974272.000000
648,-822237690384726323450095643521974272.000000
649,-822237690384726323450095643521974272.000000
650,-822237690384726323450095643521974272.000000
651,-822237690384726323450095643521974272.000000
652,-822237690384726323450095643521974272.000000
653,-822237690384726323450095643521974272.000000
654,-822237690384726323450095643521974272.000000
655,-822237690384726323450095643521974272.000000
656,-822237690384726323450095643521974272.000000
657,-822237690384726323450095643521974272.000000
658,-822237690384726323450095643521974272.000000
659,-822237690384726323450095643521974272.000000
660,-822237690384726323450095643521974272.000000
661,-822237690384726323450095643521974272.000000
662,-822237690384726323450095643521974272.000000
663,-822237690384726323450095643521974272.000000
664,-822237690384726323450095643521974272.000000
665,-822237690384726323450095643521974272.000000
666,-822237690384726323450095643521974272.000000
667,-822237690384726323450095643521974272.000000
668,-822237690384726323450095643521974272.000000
669,-822237690384726323450095643521974272.000000
670,-822237690384726323450095643521974272.000000
671,-822237690384726323450095643521974272.000000
672,-822237690384726323450095643521974272.000000
673,-822237690384726323450095643521974272.000000
674,-822237690384726323450095643521974272.000000
675,-822237690384726323450095643521974272.000000
676,-822237690384726323450095643521974272.000000
677,-822237690384726323450095643521974272.000000
678,-822237690384726323450095643521974272.000000
679,-822237690384726323450095643521974272.000000
680,-822237690384726323450095643521974272.000000
681,-822237690384726323450095643521974272.000000
682,-822237690384726323450095643521974272.000000
683,-822237690384726323450095643521974272.000000
684,-822237690384726323450095643521974272.000000
685,-822237690384726323450095643521974272.000000
686,-822237690384726323450095643521974272.000000
687,-822237690384726323450095643521974272.000000
688,-822237690384726323450095643521974272.000000
689,-822237690384726323450095643521974272.000000
690,-822237690384726323450095643521974272.000000
691,-822237690384726323450095643521974272.000000
692,-822237690384726323450095643521974272.000000
693,-822237690384726323450095643521974272.000000
694,-822237690384726323450095643521974272.000000
695,-822237690384726323450095643521974272.000000
696,-822237690384726323450095643521974272.000000
697,-822237690384726323450095643521974272.000000
698,-822237690384726323450095643521974272.000000
699,-822237690384726323450095643521974272.000000
700,-822237690384726323450095643521974272.000000
701,-822237690384726323450095643521974272.000000
702,-822237690384726323450095643521974272.000000
703,-822237690384726323450095643521974272.000000
704,-822237690384726323450095643521974272.000000
705,-822237690384726323450095643521974272.000000
706,-822237690384726323450095643521974272.000000
707,-822237690384726323450095643521974272.000000
708,-822237690384726323450095643521974272.000000
709,-822237690384726323450095643521974272.000000
710,-822237690384726323450095643521974272.000000
711,-822237690384726323450095643521974272.000000
712,-822237690384726323450095643521974272.000000
713,-822237690384726323450095643521974272.000000
714,-822237690384726323450095643521974272.000000
715,-822237690384726323450095643521974272.000000
716,-822237690384726323450095643521974272.000000
717,-822237690384726323450095643521974272.000000
718,-822237690384726323450095643521974272.000000
719,-822237690384726323450095643521974272.000000
720,-822237690384726323450095643521974272.000000
721,-822237690384726323450095643521974272.000000
722,-822237690384726323450095643521974272.000000
723,-822237690384726323450095643521974272.000000
724,-822237690384726323450095643521974272.000000
725,-822237690384726323450095643521974272.000000
726,-822237690384726323450095643521974272.000000
727,-822237690384726323450095643521974272.000000
728,-822237690384726323450095643521974272.000000
729,-822237690384726323450095643521974272.000000
730,-822237690384726323450095643521974272.000000
731,-822237690384726323450095643521974272.000000
732,-822237690384726323450095643521974272.000000
733,-822237690384726323450095643521974272.000000
